REGI,TYPO,TAG,IS_TYPO,RLEN,TLEN,TYPO_ENCOUNTER_TIME,VISUAL_SIMILARITY,KEYBOARD_DISTANCE,META_PHONE_DISTANCE,BIGRAM_SIMILARITY,EDIT_DISTANCE,TIME_DISTANCE,SOUNDEX_DISTANCE
icongsm.com.bd,icongsm.co.bd,2017-09,1,14,13,25-SEP-17 11.01.41.111000000 AM,0.74,1,0,0.88,1,2,0
sschool.edu.bd,pmahschool.edu.bd,2017-09,0,14,17,25-SEP-17 11.16.22.686000000 AM,0.32,4,4,0.83,4,58.97,4
unitedfinance.com.bd,unitedfinacne.com.bd,2017-09,1,20,20,25-SEP-17 11.19.43.998000000 AM,0.83,2,0,0.84,2,0.17,0
eongroup.net.bd,eongrup.net.bd,2017-09,1,15,14,25-SEP-17 10.52.05.273000000 AM,0.76,1,0,0.89,1,4.59,0
saicmedical.edu.bd,sicmedical.edu.bd,2017-09,1,18,17,25-SEP-17 09.53.26.396000000 AM,0.77,1,0,0.91,1,15.65,0
unitedfinance.com.bd,unitedfinacne.com.bd,2017-09,1,20,20,25-SEP-17 11.19.43.568000000 AM,0.83,2,0,0.84,2,0.18,0
xiclassadmission.gov.bd,xiadmission.gov.bd,2017-09,0,23,18,25-SEP-17 10.36.46.227000000 AM,0.29,5,2,0.82,5,21.03,2
nactar.gov.bd,nactargov.bd,2017-09,1,13,12,25-SEP-17 09.19.51.638000000 AM,0.73,1,0,0.87,1,8.15,0
bmtf.com.bd,bmtfbd.com.bd,2017-09,1,11,13,25-SEP-17 10.12.04.864000000 AM,0.49,2,0,0.82,2,6,0
ttcchittagong.edu.bd,ttchittagong.edu.bd,2017-09,1,20,19,25-SEP-17 01.37.42.628000000 AM,0.81,1,0,0.97,1,7.33,0
amefird.com.bd,amefired.com.bd,2017-09,1,14,15,25-SEP-17 03.11.12.741000000 AM,0.76,1,0,0.89,1,0.05,0
dgdp.gov.bd,dgdgp.gov.bd,2017-09,1,11,12,25-SEP-17 03.01.39.486000000 AM,0.71,1,1,0.86,1,0,1
